state_raw,year,atms,source_sheet,total_row_label
PUNJAB,2023,7948.0,Statewise March 2023,Grand Total
RAJASTHAN,2023,11523.0,Statewise March 2023,Grand Total
SIKKIM,2023,235.0,Statewise March 2023,Grand Total
TAMIL NADU,2023,30078.0,Statewise March 2023,Grand Total
TELANGANA,2023,11549.0,Statewise March 2023,Grand Total
TRIPURA,2023,605.0,Statewise March 2023,Grand Total
UTTAR PRADESH,2023,24746.0,Statewise March 2023,Grand Total
UTTARAKHAND,2023,3051.0,Statewise March 2023,Grand Total
WEST BENGAL,2023,13633.0,Statewise March 2023,Grand Total
ANDAMAN & NICOBAR ISLANDS,2024,129.0,State-Wise March-24,GRAND TOTAL
ANDHRA PRADESH,2024,12046.0,State-Wise March-24,GRAND TOTAL
ARUNACHAL PRADESH,2024,313.0,State-Wise March-24,GRAND TOTAL
ASSAM,2024,4989.0,State-Wise March-24,GRAND TOTAL
BIHAR,2024,9198.0,State-Wise March-24,GRAND TOTAL
CHANDIGARH,2024,750.0,State-Wise March-24,GRAND TOTAL
CHHATTISGARH,2024,4644.0,State-Wise March-24,GRAND TOTAL
DADRA & NAGAR HAVELI AND DAMAN & DIU,2024,300.0,State-Wise March-24,GRAND TOTAL
GOA,2024,1063.0,State-Wise March-24,GRAND TOTAL
GUJARAT,2024,14637.0,State-Wise March-24,GRAND TOTAL
HARYANA,2024,7357.0,State-Wise March-24,GRAND TOTAL
HIMACHAL PRADESH,2024,2321.0,State-Wise March-24,GRAND TOTAL
JAMMU & KASHMIR,2024,2909.0,State-Wise March-24,GRAND TOTAL
JHARKHAND,2024,4079.0,State-Wise March-24,GRAND TOTAL
KARNATAKA,2024,19272.0,State-Wise March-24,GRAND TOTAL
KERALA,2024,12225.0,State-Wise March-24,GRAND TOTAL
LADAKH,2024,167.0,State-Wise March-24,GRAND TOTAL
LAKSHADWEEP,2024,30.0,State-Wise March-24,GRAND TOTAL
MADHYA PRADESH,2024,11500.0,State-Wise March-24,GRAND TOTAL
