unit,year,age_band,persons,male,female,pdf_page
PUNJAB,2031,15-19,2128,1139,990,178
PUNJAB,2036,15-19,2027,1081,946,178
PUNJAB,2026,20-24,2482,1352,1130,178
PUNJAB,2031,20-24,2270,1222,1048,178
PUNJAB,2036,20-24,2200,1166,1035,178
PUNJAB,2026,25-29,2702,1487,1215,178
PUNJAB,2031,25-29,2502,1362,1140,178
PUNJAB,2036,25-29,2293,1235,1059,178
PUNJAB,2026,30-34,2819,1537,1282,178
PUNJAB,2031,30-34,2704,1487,1216,178
PUNJAB,2036,30-34,2508,1365,1142,178
PUNJAB,2026,35-39,2709,1438,1272,178
PUNJAB,2031,35-39,2809,1529,1280,178
PUNJAB,2036,35-39,2696,1481,1215,178
PUNJAB,2026,40-44,2422,1247,1176,178
PUNJAB,2031,40-44,2686,1420,1265,178
PUNJAB,2036,40-44,2786,1511,1274,178
PUNJAB,2026,45-49,2112,1069,1043,178
PUNJAB,2031,45-49,2389,1224,1165,178
PUNJAB,2036,45-49,2650,1396,1254,178
PUNJAB,2026,50-54,1876,940,936,178
PUNJAB,2031,50-54,2064,1039,1026,178
PUNJAB,2036,50-54,2338,1191,1147,178
PUNJAB,2026,55-59,1656,827,829,178
PUNJAB,2031,55-59,1814,902,913,178
PUNJAB,2036,55-59,2000,998,1001,178
PUNJAB,2026,60-64,1381,694,688,178
PUNJAB,2031,60-64,1574,777,797,178
PUNJAB,2036,60-64,1729,850,879,178
PUNJAB,2026,65-69,1061,533,528,178
PUNJAB,2031,65-69,1284,635,649,178
PUNJAB,2036,65-69,1468,714,754,178
PUNJAB,2026,70-74,802,390,412,178
PUNJAB,2031,70-74,949,469,480,178
PUNJAB,2036,70-74,1154,560,594,178
PUNJAB,2026,75-79,610,288,321,178
PUNJAB,2031,75-79,665,317,348,178
PUNJAB,2036,75-79,792,383,410,178
PUNJAB,2026,80+,614,297,317,178
PUNJAB,2031,80+,729,338,391,178
PUNJAB,2036,80+,835,379,456,178
PUNJAB,2026,Total,31318,16423,14895,178
PUNJAB,2031,Total,32087,16792,15295,178
PUNJAB,2036,Total,32658,17055,15603,178
UTTARAKHAND,2011,0-1,195,103,92,182
UTTARAKHAND,2016,0-1,175,95,80,182
UTTARAKHAND,2021,0-1,176,95,81,182
UTTARAKHAND,2011,0-4,965,511,454,182
UTTARAKHAND,2016,0-4,865,471,394,182
UTTARAKHAND,2021,0-4,869,468,401,182
UTTARAKHAND,2011,5-9,1049,554,495,182
UTTARAKHAND,2016,5-9,967,514,453,182
UTTARAKHAND,2021,5-9,868,474,394,182
UTTARAKHAND,2011,10-14,1120,590,530,182
UTTARAKHAND,2016,10-14,1052,557,495,182
UTTARAKHAND,2021,10-14,971,517,454,182
UTTARAKHAND,2011,15-19,1093,567,525,182
UTTARAKHAND,2016,15-19,1131,595,535,182
UTTARAKHAND,2021,15-19,1064,564,501,182
UTTARAKHAND,2011,20-24,970,490,481,182
UTTARAKHAND,2016,20-24,1110,574,536,182
UTTARAKHAND,2021,20-24,1150,603,547,182
UTTARAKHAND,2011,25-29,824,407,417,182
UTTARAKHAND,2016,25-29,975,493,482,182
UTTARAKHAND,2021,25-29,1115,577,538,182
UTTARAKHAND,2011,30-34,719,355,364,182
UTTARAKHAND,2016,30-34,825,409,416,182
UTTARAKHAND,2021,30-34,976,494,482,182
UTTARAKHAND,2011,35-39,650,324,326,182
UTTARAKHAND,2016,35-39,718,355,363,182
UTTARAKHAND,2021,35-39,823,408,415,182
UTTARAKHAND,2011,40-44,573,288,285,182
UTTARAKHAND,2016,40-44,644,320,324,182
UTTARAKHAND,2021,40-44,712,352,360,182
UTTARAKHAND,2011,45-49,486,246,240,182
UTTARAKHAND,2016,45-49,564,283,281,182
UTTARAKHAND,2021,45-49,635,316,320,182
UTTARAKHAND,2011,50-54,401,201,200,182
UTTARAKHAND,2016,50-54,473,238,235,182
UTTARAKHAND,2021,50-54,550,274,276,182
UTTARAKHAND,2011,55-59,341,168,174,182
UTTARAKHAND,2016,55-59,385,191,194,182
UTTARAKHAND,2021,55-59,455,226,229,182
UTTARAKHAND,2011,60-64,299,147,152,182
UTTARAKHAND,2016,60-64,319,153,165,182
UTTARAKHAND,2021,60-64,361,176,185,182
UTTARAKHAND,2011,65-69,233,115,117,182
UTTARAKHAND,2016,65-69,271,129,142,182
UTTARAKHAND,2021,65-69,291,136,155,182
UTTARAKHAND,2011,70-74,184,90,94,182
UTTARAKHAND,2016,70-74,201,97,104,182
UTTARAKHAND,2021,70-74,237,110,127,182
UTTARAKHAND,2011,75-79,111,54,57,182
UTTARAKHAND,2016,75-79,146,69,77,182
UTTARAKHAND,2021,75-79,162,75,87,182
UTTARAKHAND,2011,80+,67,29,38,182
UTTARAKHAND,2016,80+,109,48,61,182
UTTARAKHAND,2021,80+,157,66,90,182
UTTARAKHAND,2011,Total,10086,5138,4949,182
UTTARAKHAND,2016,Total,10755,5496,5258,182
UTTARAKHAND,2021,Total,11399,5840,5560,182
UTTARAKHAND,2026,0-1,171,91,80,182
UTTARAKHAND,2031,0-1,164,86,78,182
UTTARAKHAND,2036,0-1,154,81,73,182
UTTARAKHAND,2026,0-4,845,450,395,182
UTTARAKHAND,2031,0-4,812,428,385,182
UTTARAKHAND,2036,0-4,761,401,360,182
UTTARAKHAND,2026,5-9,873,472,401,182
UTTARAKHAND,2031,5-9,850,455,396,182
UTTARAKHAND,2036,5-9,818,432,386,182
UTTARAKHAND,2026,10-14,874,479,395,182
UTTARAKHAND,2031,10-14,880,477,403,182
UTTARAKHAND,2036,10-14,857,460,397,182
UTTARAKHAND,2026,15-19,985,525,460,182
UTTARAKHAND,2031,15-19,889,487,402,182
UTTARAKHAND,2036,15-19,896,486,410,182
