unit,year,age,persons,male,female,pdf_page
HIMACHAL PRADESH,2016,17,126,67,59,176
HIMACHAL PRADESH,2021,17,119,63,56,176
HIMACHAL PRADESH,2011,18,129,67,62,176
HIMACHAL PRADESH,2016,18,127,67,60,176
HIMACHAL PRADESH,2021,18,120,64,56,176
HIMACHAL PRADESH,2011,19,128,66,62,176
HIMACHAL PRADESH,2016,19,127,67,60,176
HIMACHAL PRADESH,2021,19,121,65,57,176
HIMACHAL PRADESH,2011,20,127,65,62,176
HIMACHAL PRADESH,2016,20,128,67,60,176
HIMACHAL PRADESH,2021,20,123,66,58,176
HIMACHAL PRADESH,2011,21,127,65,63,176
HIMACHAL PRADESH,2016,21,128,68,61,176
HIMACHAL PRADESH,2021,21,125,67,58,176
HIMACHAL PRADESH,2011,22,127,64,63,176
HIMACHAL PRADESH,2016,22,129,68,61,176
HIMACHAL PRADESH,2021,22,126,67,59,176
HIMACHAL PRADESH,2011,23,125,63,62,176
HIMACHAL PRADESH,2016,23,128,67,61,176
HIMACHAL PRADESH,2021,23,127,67,59,176
HIMACHAL PRADESH,2026,5,91,47,43,176
HIMACHAL PRADESH,2031,5,85,44,41,176
HIMACHAL PRADESH,2036,5,79,41,38,176
HIMACHAL PRADESH,2026,6,92,48,44,176
HIMACHAL PRADESH,2031,6,86,45,41,176
HIMACHAL PRADESH,2036,6,81,42,39,176
HIMACHAL PRADESH,2026,7,93,49,44,176
HIMACHAL PRADESH,2031,7,87,46,42,176
HIMACHAL PRADESH,2036,7,82,43,39,176
HIMACHAL PRADESH,2026,8,94,49,45,176
HIMACHAL PRADESH,2031,8,88,46,42,176
HIMACHAL PRADESH,2036,8,83,43,40,176
HIMACHAL PRADESH,2026,9,96,50,45,176
HIMACHAL PRADESH,2031,9,90,47,43,176
HIMACHAL PRADESH,2036,9,84,44,40,176
HIMACHAL PRADESH,2026,10,97,51,46,176
HIMACHAL PRADESH,2031,10,91,48,43,176
HIMACHAL PRADESH,2036,10,85,45,40,176
HIMACHAL PRADESH,2026,11,98,52,46,176
HIMACHAL PRADESH,2031,11,92,48,43,176
HIMACHAL PRADESH,2036,11,86,45,41,176
HIMACHAL PRADESH,2026,12,99,53,47,176
HIMACHAL PRADESH,2031,12,93,49,44,176
HIMACHAL PRADESH,2036,12,87,46,41,176
HIMACHAL PRADESH,2026,13,101,54,48,176
HIMACHAL PRADESH,2031,13,94,50,44,176
HIMACHAL PRADESH,2036,13,88,47,42,176
HIMACHAL PRADESH,2026,14,104,55,49,176
HIMACHAL PRADESH,2031,14,96,51,45,176
HIMACHAL PRADESH,2036,14,90,47,42,176
HIMACHAL PRADESH,2026,15,107,57,50,176
HIMACHAL PRADESH,2031,15,97,51,46,176
HIMACHAL PRADESH,2036,15,91,48,43,176
HIMACHAL PRADESH,2026,16,110,58,51,176
HIMACHAL PRADESH,2031,16,98,52,46,176
HIMACHAL PRADESH,2036,16,92,49,43,176
HIMACHAL PRADESH,2026,17,112,59,52,176
HIMACHAL PRADESH,2031,17,100,53,47,176
HIMACHAL PRADESH,2036,17,93,49,44,176
HIMACHAL PRADESH,2026,18,113,60,53,176
HIMACHAL PRADESH,2031,18,102,54,48,176
HIMACHAL PRADESH,2036,18,95,50,44,176
HIMACHAL PRADESH,2026,19,114,61,54,176
HIMACHAL PRADESH,2031,19,104,56,49,176
HIMACHAL PRADESH,2036,19,96,51,45,176
HIMACHAL PRADESH,2026,20,116,62,54,176
HIMACHAL PRADESH,2031,20,107,57,50,176
HIMACHAL PRADESH,2036,20,97,52,45,176
HIMACHAL PRADESH,2026,21,117,63,55,176
HIMACHAL PRADESH,2031,21,110,59,51,176
HIMACHAL PRADESH,2036,21,98,53,46,176
HIMACHAL PRADESH,2026,22,119,63,55,176
HIMACHAL PRADESH,2031,22,112,60,52,176
HIMACHAL PRADESH,2036,22,100,54,46,176
HIMACHAL PRADESH,2026,23,120,64,56,176
HIMACHAL PRADESH,2031,23,113,61,53,176
HIMACHAL PRADESH,2036,23,102,55,47,176
PUNJAB,2011,5,455,249,206,180
PUNJAB,2016,5,420,227,193,180
PUNJAB,2021,5,405,216,189,180
PUNJAB,2011,6,464,255,210,180
PUNJAB,2016,6,421,228,193,180
PUNJAB,2021,6,410,219,191,180
PUNJAB,2011,7,473,260,213,180
PUNJAB,2016,7,426,232,194,180
PUNJAB,2021,7,415,221,193,180
PUNJAB,2011,8,483,266,216,180
PUNJAB,2016,8,434,237,197,180
PUNJAB,2021,8,418,224,194,180
PUNJAB,2011,9,491,272,220,180
PUNJAB,2016,9,445,244,202,180
PUNJAB,2021,9,422,227,195,180
PUNJAB,2011,10,501,278,223,180
PUNJAB,2016,10,457,251,206,180
PUNJAB,2021,10,422,229,194,180
PUNJAB,2011,11,511,285,226,180
PUNJAB,2016,11,466,256,210,180
PUNJAB,2021,11,423,230,193,180
PUNJAB,2011,12,520,290,230,180
PUNJAB,2016,12,476,262,214,180
PUNJAB,2021,12,428,233,195,180
PUNJAB,2011,13,527,294,233,180
PUNJAB,2016,13,485,268,217,180
PUNJAB,2021,13,437,239,198,180
PUNJAB,2011,14,532,295,237,180
PUNJAB,2016,14,495,274,222,180
PUNJAB,2021,14,450,246,204,180
PUNJAB,2011,15,541,300,241,180
PUNJAB,2016,15,507,281,225,180
PUNJAB,2021,15,463,254,209,180
PUNJAB,2011,16,551,305,246,180
PUNJAB,2016,16,517,288,229,180
PUNJAB,2021,16,473,260,213,180
PUNJAB,2011,17,555,306,249,180
PUNJAB,2016,17,527,293,233,180
PUNJAB,2021,17,483,266,218,180
PUNJAB,2011,18,555,305,251,180
PUNJAB,2016,18,534,297,237,180
PUNJAB,2021,18,494,272,222,180
PUNJAB,2011,19,551,300,251,180
PUNJAB,2016,19,541,299,242,180
PUNJAB,2021,19,505,278,227,180
PUNJAB,2011,20,549,296,253,180
PUNJAB,2016,20,551,303,248,180
PUNJAB,2021,20,518,285,233,180
PUNJAB,2011,21,551,295,256,180
PUNJAB,2016,21,563,309,254,180
PUNJAB,2021,21,531,293,238,180
PUNJAB,2011,22,548,291,256,180
PUNJAB,2016,22,568,310,257,180
PUNJAB,2021,22,540,298,242,180
PUNJAB,2011,23,539,285,254,180
PUNJAB,2016,23,567,308,258,180
PUNJAB,2021,23,547,301,246,180
PUNJAB,2026,5,382,203,179,180
