Quarter Date,Sequence No,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Measure 1,Measure 2,Measure 3,Measure 4,Measure 5,Measure 6,Measure 7,Measure 8
2023/12/31 00:00:00,22,CHANDIGARH,,,,457,476883,69893449000,4913354,350531209000,1241488,663368316000,6631725
2025/12/31 00:00:00,30,SOUTHERN REGION,,,,42010,17494103,5486484216000,475137303,17026810689000,63740933,36305205412000,556372339
2023/12/31 00:00:00,37,TELANGANA,,,,5041,3274780,753744792000,63594569,2393539522000,6916224,4255306867000,73785573
2023/09/30 00:00:00,44,MAHARASHTRA,,,,13437,20422954,5650171094000,198405540,8189551130000,37390929,28505623575000,256219423
2025/09/30 00:00:00,4,UTTARAKHAND,,,,2070,583271,117074088000,17117605,948345082000,4133487,1428788660000,21834363
2026/06/30 00:00:00,11,SIKKIM,,,,190,35370,8857560000,1140099,48707245000,153677,117709179000,1329146
2025/06/30 00:00:00,34,LAKSHADWEEP,,,,26,4625,2737763000,91244,10614081000,4854,1885535000,100723
2023/03/31 00:00:00,3,MADHYA PRADESH,,,,6198,7225697,353729579000,96436359,2158450851000,9914888,2682418669000,
2023/06/30 00:00:00,15,ASSAM,,,,2637,3210352,134307889000,39709935,996184531000,3542891,814829449000,
2026/06/30 00:00:00,21,NORTHERN REGION,,,,27263,13777640,4125857505000,451764874,14375496890000,55429398,34563304462000,520971912
2024/12/31 00:00:00,44,MAHARASHTRA,,,,13930,21100727,6457731539000,207767887,8546050867000,36841155,34707376287000,265709769
2025/09/30 00:00:00,5,UTTAR PRADESH,,,,15219,7524204,1123620993000,262237496,7860244222000,26780312,9408713337000,296542012
2025/09/30 00:00:00,12,WEST BENGAL,,,,9255,5883488,812481060000,141892752,3761040905000,22879731,7665409824000,170655971
2024/06/30 00:00:00,45,ALL-INDIA,,,,141965,114624515,18783502011000,1940977490,62939294570000,259493758,125962441144000,2315095763
2025/03/31 00:00:00,24,HIMACHAL PRADESH,,,,1540,315602,51705886000,10705886,506206802000,3365287,974515036000,14386775
2026/06/30 00:00:00,35,PUDUCHERRY,,,,241,98901,23081147000,2681447,116729017000,398665,215611926000,3179013
2024/12/31 00:00:00,12,WEST BENGAL,,,,9107,5685940,761747167000,139062422,3647080793000,22321717,7143150199000,167070079
2024/09/30 00:00:00,2,CHHATTISGARH,,,,2506,2498842,196070683000,31183543,1037317529000,3632627,1075450026000,37315012
2023/03/31 00:00:00,28,PUNJAB,,,,6169,7457513,247023468000,50937219,2126338692000,9216778,3105164464000,
2025/03/31 00:00:00,1,CENTRAL REGION,,,,26277,13858584,1897532288000,410220919,12189934855000,44962372,14965897243000,469041875
2023/09/30 00:00:00,2,CHHATTISGARH,,,,2419,2733022,172090171000,30552433,973193435000,3435435,971619521000,36720890
2026/06/30 00:00:00,6,EASTERN REGION,,,,24409,12409842,1795063895000,380954138,10617677922000,44032550,16646781356000,437396530
2023/03/31 00:00:00,36,TAMIL NADU,,,,11741,13330025,1273568986000,143088318,4073285097000,15760090,6567896278000,
2023/09/30 00:00:00,27,NCT OF DELHI,,,,3846,7263363,1697450726000,117077819,3745339740000,14173911,12310909392000,138515093
