Return Sk,Currency Sk,Stored Unit Sk,Quarter Date,Sequence No,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Measure 1,Measure 2,Measure 3,Measure 4,Measure 5,Measure 6,Measure 7,Measure 8,Measure 9,Measure 10,Measure 11,Measure 12,Measure 13,Measure 14,Measure 15,St Flag,Created By,Created Date,Src Name,Report As On Date Sk
258,55,1,2025/03/31 00:00:00,18,MIZORAM,,,,241,33856,10051674000,1644746,90187547000,88539,74383313000,1767141,174622534000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2022/03/31 00:00:00,25,JAMMU & KASHMIR,,,,1816,2441002,144450240000,17481244,656504153000,3199716,731334172000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45650
258,55,1,2021/03/31 00:00:00,42,GOA,,,,687,191106,37987174000,3898924,236924259000,1778745,582801518000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45285
258,55,1,2026/03/31 00:00:00,8,BIHAR,,,,8409,3652664,333401820000,157946740,3469636740000,8774579,2417516820000,170373983,6220555380000,,,,,,,ST2.3,REGULAR LOAD,2026/05/22 20:26:04,SADP,47111
258,55,1,2024/03/31 00:00:00,11,SIKKIM,,,,176,63199,13122513000,1077847,47521733000,133739,86836886000,1274785,147481132000,,,,,,,ST2.3,REGULAR LOAD,2024/05/27 15:52:55,SADP,46381
258,55,1,2020/03/31 00:00:00,27,NCT OF DELHI,,,,3825,4272374,1343918498000,36114260,2793211208000,12762960,8245315368000,53149594,12382445074000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44920
258,55,1,2023/03/31 00:00:00,24,HIMACHAL PRADESH,,,,1734,1273292,46942583000,11956782,511560133000,3364786,806353936000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2023/03/31 00:00:00,34,LAKSHADWEEP,,,,22,4146,1959690000,86341,10412219000,4317,1753181000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2023/03/31 00:00:00,1,CENTRAL REGION,,,,31137,28882770,1641425671000,486619581,11760061431000,43957441,11726775732000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2026/03/31 00:00:00,23,HARYANA,,,,5909,2216045,947928786000,108033521,2863688901000,9639397,6222720193000,119888963,10034337880000,,,,,,,ST2.3,REGULAR LOAD,2026/05/22 20:26:04,SADP,47111
258,55,1,2019/03/31 00:00:00,22,CHANDIGARH,,,,442,287292,45026502000,2753064,190086799000,1145570,447889361000,4185926,683002662000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44554
258,55,1,2020/03/31 00:00:00,6,EASTERN REGION,,,,25339,13854443,1154429852000,342437642,7283074568000,46774084,9509747902000,403066169,17947252322000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44920
258,55,1,2020/03/31 00:00:00,10,ODISHA,,,,5223,1699122,189638732000,56194359,1324343856000,7868997,1897419277000,65762478,3411401865000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44920
258,55,1,2021/03/31 00:00:00,30,SOUTHERN REGION,,,,43071,17571429,3966698023000,453180548,13077826114000,59469793,21565654410000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45285
258,55,1,2025/03/31 00:00:00,27,NCT OF DELHI,,,,3981,3272377,2589008767000,159394462,4089851927000,14918998,14031272182000,177585837,20710132876000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2023/03/31 00:00:00,22,CHANDIGARH,,,,449,410106,63924267000,5031148,347887553000,1192565,587370093000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2019/03/31 00:00:00,23,HARYANA,,,,5008,3342115,366796663000,41118842,1604269988000,6809076,2128677872000,51270033,4099744523000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44554
258,55,1,2023/03/31 00:00:00,45,ALL-INDIA,,,,158642,144957466,18662221782000,2120221992,62904519890000,258625623,105856367124000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2025/03/31 00:00:00,26,LADAKH,,,,103,90258,17039655000,502724,39947335000,88361,41862712000,681343,98849702000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2025/03/31 00:00:00,20,TRIPURA,,,,646,126434,31504083000,5394452,186891425000,587583,203000972000,6108469,421396480000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2024/03/31 00:00:00,9,JHARKHAND,,,,3399,3297997,229650971000,48976104,1381719706000,5123586,1755868663000,57397687,3367239340000,,,,,,,ST2.3,REGULAR LOAD,2024/05/27 15:52:55,SADP,46381
258,55,1,2020/03/31 00:00:00,37,TELANGANA,,,,5388,2217731,585038558000,60325697,1691734095000,6981234,2705067151000,69524662,4981839804000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44920
258,55,1,2023/03/31 00:00:00,3,MADHYA PRADESH,,,,7541,7325680,359433761000,111750476,2309084831000,10714884,2805155438000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2023/03/31 00:00:00,2,CHHATTISGARH,,,,2979,2633332,162857868000,39295044,1041539529000,3564751,959672657000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2022/03/31 00:00:00,7,ANDAMAN & NICOBAR ISLANDS,,,,72,28442,6240268000,482262,37422261000,97446,24064064000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45650
258,55,1,2024/03/31 00:00:00,34,LAKSHADWEEP,,,,23,4270,2143828000,87039,10525939000,4481,2645923000,95790,15315690000,,,,,,,ST2.3,REGULAR LOAD,2024/05/27 15:52:55,SADP,46381
258,55,1,2020/03/31 00:00:00,41,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,,,,110,53638,9640642000,1330552,44878585000,186649,45269267000,1570839,99788494000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44920
258,55,1,2020/03/31 00:00:00,45,ALL-INDIA,,,,153102,86006704,12737559075000,1729599834,45158594315000,253440936,79590397176000,2069047474,137486550566000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44920
258,55,1,2025/03/31 00:00:00,5,UTTAR PRADESH,,,,19436,7760285,1189664389000,330386098,8653887733000,28444809,9255295580000,366591192,19098847702000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2026/03/31 00:00:00,24,HIMACHAL PRADESH,,,,1839,317537,53771640000,12264267,556000861000,3802844,1159163959000,16384648,1768936460000,,,,,,,ST2.3,REGULAR LOAD,2026/05/22 20:26:04,SADP,47111
258,55,1,2021/03/31 00:00:00,36,TAMIL NADU,,,,12028,5935478,1014354685000,129321371,3348126625000,16564692,5724828079000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45285
258,55,1,2025/03/31 00:00:00,29,RAJASTHAN,,,,8786,2973512,506442755000,104912930,2841502855000,12203584,4066418748000,120090026,7414364358000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2019/03/31 00:00:00,19,NAGALAND,,,,164,53516,25483135000,1323485,47387253000,102137,38958231000,1479138,111828619000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44554
258,55,1,2022/03/31 00:00:00,45,ALL-INDIA,,,,154758,121884270,17098082571000,1879269381,59705322615000,253846181,93284545564000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45650
258,55,1,2026/03/31 00:00:00,18,MIZORAM,,,,251,31874,12811568000,1675222,101137142000,94037,87030797000,1801133,200979507000,,,,,,,ST2.3,REGULAR LOAD,2026/05/22 20:26:04,SADP,47111
258,55,1,2025/03/31 00:00:00,44,MAHARASHTRA,,,,14832,21860406,7464549384000,217842152,9140355334000,37923897,35734756706000,277626455,52339661424000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2025/03/31 00:00:00,2,CHHATTISGARH,,,,3187,1669580,189482615000,41022366,1228800187000,4036474,1263323821000,46728420,2681606623000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2022/03/31 00:00:00,37,TELANGANA,,,,5605,2710180,806829250000,65025203,2287359293000,6852511,3295302716000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45650
258,55,1,2026/03/31 00:00:00,38,WESTERN REGION,,,,25983,26800469,9690288461000,314245366,14978000064000,60771835,49623476617000,401817670,74291765142000,,,,,,,ST2.3,REGULAR LOAD,2026/05/22 20:26:04,SADP,47111
258,55,1,2022/03/31 00:00:00,13,NORTH EASTERN REGION,,,,4799,3609924,333208386000,61429879,1621343438000,5098807,1203879776000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45650
258,55,1,2019/03/31 00:00:00,25,JAMMU & KASHMIR,,,,1830,2067670,121410010000,16508635,481435054000,3084869,578372496000,21661174,1181217560000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44554
258,55,1,2024/03/31 00:00:00,41,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,,,,108,89423,14146915000,1539473,66257793000,205471,76140334000,1834367,156545042000,,,,,,,ST2.3,REGULAR LOAD,2024/05/27 15:52:55,SADP,46381
258,55,1,2025/03/31 00:00:00,34,LAKSHADWEEP,,,,17,4435,3018571000,90889,10589037000,4636,1794878000,99960,15402486000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2022/03/31 00:00:00,21,NORTHERN REGION,,,,27430,27645794,3219179016000,261821830,11816006338000,47917523,20152911604000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45650
258,55,1,2026/03/31 00:00:00,30,SOUTHERN REGION,,,,47887,17687302,6241278520000,529366696,18875591887000,69021720,39115105819000,616075718,64231976226000,,,,,,,ST2.3,REGULAR LOAD,2026/05/22 20:26:04,SADP,47111
258,55,1,2023/03/31 00:00:00,32,KARNATAKA,,,,11034,5178733,1757796909000,120553541,4624931176000,18026737,8469801079000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2025/03/31 00:00:00,30,SOUTHERN REGION,,,,46640,17244875,5406953828000,521241067,16462553317000,67978689,34913499516000,606464631,56783006661000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
