reporting_date,region,state,n_offices,n_credit_accounts,credit_limit_rs,amount_outstanding_rs
2016-06-30,CENTRAL REGION,Madhya Pradesh,4487,5034471,2206031965000,1587450239000
2016-06-30,CENTRAL REGION,Uttar Pradesh,11697,9269343,3972911713000,2861359905000
2016-06-30,CENTRAL REGION,Uttarakhand,1632,908448,424985895000,319222358000
2016-06-30,EASTERN REGION,Andaman & Nicobar Islands,61,40953,18453672000,14376632000
2016-06-30,EASTERN REGION,Bihar,4248,4745962,879598827000,702018854000
2016-06-30,EASTERN REGION,Jharkhand,2307,2004046,576405536000,432614526000
2016-06-30,EASTERN REGION,Odisha,3509,3171706,1078845260000,782777868000
2016-06-30,EASTERN REGION,Sikkim,127,58614,24964514000,17129098000
2016-06-30,EASTERN REGION,West Bengal,6498,7058104,4649058525000,3202148619000
2016-06-30,NORTH-EASTERN REGION,Arunachal Pradesh,106,75591,31883325000,24034068000
2016-06-30,NORTH-EASTERN REGION,Assam,1691,2803484,517397277000,391009045000
2016-06-30,NORTH-EASTERN REGION,Manipur,124,112296,33175033000,24902265000
2016-06-30,NORTH-EASTERN REGION,Meghalaya,228,172355,51814473000,38040058000
2016-06-30,NORTH-EASTERN REGION,Mizoram,84,62571,20378761000,15309482000
2016-06-30,NORTH-EASTERN REGION,Nagaland,132,120191,36000973000,26229045000
2016-06-30,NORTH-EASTERN REGION,Tripura,279,516511,56319284000,43933176000
2016-06-30,NORTHERN REGION,Chandigarh,377,183673,859502861000,586432710000
2016-06-30,NORTHERN REGION,Delhi,3267,2756432,13948609356000,9137463398000
2016-06-30,NORTHERN REGION,Haryana,3794,2241581,2880609660000,1684308431000
2016-06-30,NORTHERN REGION,Himachal Pradesh,1284,636099,279365143000,216345733000
2016-06-30,NORTHERN REGION,Jammu & Kashmir,1356,1131454,461773357000,342278650000
2016-06-30,NORTHERN REGION,Punjab,5594,2899714,4298312746000,1954272127000
2016-06-30,NORTHERN REGION,Rajasthan,5135,4759912,2592996100000,1747882036000
2016-06-30,SOUTHERN REGION,Andhra Pradesh,5329,9171890,2676803562000,2092541823000
2016-06-30,SOUTHERN REGION,Karnataka,7721,8477474,7568647004000,4591334787000
2016-06-30,SOUTHERN REGION,Kerala,5513,6817849,2892929760000,2200658103000
2016-06-30,SOUTHERN REGION,Lakshadweep,12,5741,1096699000,784209000
2016-06-30,SOUTHERN REGION,Puducherry,189,327858,100692660000,80887351000
2016-06-30,SOUTHERN REGION,Tamil Nadu,9356,28927891,10196023337000,6767569955000
2016-06-30,SOUTHERN REGION,Telangana,3949,5437609,5032310882000,3578834061000
2016-06-30,WESTERN REGION,Dadra & Nagar Haveli,54,23517,15676635000,11524554000
2016-06-30,WESTERN REGION,Daman & Diu,47,13037,11908893000,8835362000
2016-06-30,WESTERN REGION,Goa,640,275908,213464058000,148438065000
2016-06-30,WESTERN REGION,Gujarat,6481,4469273,5600348328000,3876958388000
2016-06-30,WESTERN REGION,Maharashtra,10813,22223273,33327087042000,21870639644000
2016-09-30,CENTRAL REGION,Chhattisgarh,1685,1189734,930270356000,648327361000
2016-09-30,CENTRAL REGION,Madhya Pradesh,4808,5436465,2294118197000,1688365818000
2016-09-30,CENTRAL REGION,Uttar Pradesh,11774,9576585,3938420217000,2867917195000
2016-09-30,CENTRAL REGION,Uttarakhand,1641,926554,441587465000,329486482000
2016-09-30,EASTERN REGION,Andaman & Nicobar Islands,61,41200,19173188000,15013151000
2016-09-30,EASTERN REGION,Bihar,4287,4955872,886356322000,714345195000
2016-09-30,EASTERN REGION,Jharkhand,2313,2051244,584848966000,439948516000
2016-09-30,EASTERN REGION,Odisha,3553,3286093,1094162359000,774265615000
2016-09-30,EASTERN REGION,Sikkim,125,59586,25595032000,18214449000
2016-09-30,EASTERN REGION,West Bengal,6590,7525835,4774883853000,3235938581000
2016-09-30,NORTH-EASTERN REGION,Arunachal Pradesh,110,75721,32592506000,24783020000
2016-09-30,NORTH-EASTERN REGION,Assam,1688,2924097,541376634000,409883505000
2016-09-30,NORTH-EASTERN REGION,Manipur,129,110475,35073927000,26637547000
2016-09-30,NORTH-EASTERN REGION,Meghalaya,232,176362,56762179000,42004733000
2016-09-30,NORTH-EASTERN REGION,Mizoram,86,63378,21052891000,15901023000
2016-09-30,NORTH-EASTERN REGION,Nagaland,133,122034,37273064000,27423341000
2016-09-30,NORTH-EASTERN REGION,Tripura,274,547764,58752646000,46407673000
2016-09-30,NORTHERN REGION,Chandigarh,381,193159,882645624000,588693803000
2016-09-30,NORTHERN REGION,Delhi,3345,2877588,14003599441000,9220584927000
2016-09-30,NORTHERN REGION,Haryana,3839,2325104,2905183859000,1667736936000
2016-09-30,NORTHERN REGION,Himachal Pradesh,1298,651245,289686231000,221474720000
2016-09-30,NORTHERN REGION,Jammu & Kashmir,1164,952177,339142239000,254354527000
