march_year,state_name,state_code,no_of_deposit_accounts_thousand,deposit_amount_rs_crore,source
2017,Karnataka,29,112887.0,783250.6,IDP bank-group wise deposits (RBI BSR-2)
2017,Kerala,32,64583.0,411407.9,IDP bank-group wise deposits (RBI BSR-2)
2017,Ladakh,37,489.0,3230.4,IDP bank-group wise deposits (RBI BSR-2)
2017,Lakshadweep,31,84.0,960.7,IDP bank-group wise deposits (RBI BSR-2)
2017,Madhya Pradesh,23,95452.0,313014.2,IDP bank-group wise deposits (RBI BSR-2)
2017,Maharashtra,27,186955.0,2195511.0,IDP bank-group wise deposits (RBI BSR-2)
2017,Manipur,14,2519.0,7773.5,IDP bank-group wise deposits (RBI BSR-2)
2017,Meghalaya,17,2660.0,20450.4,IDP bank-group wise deposits (RBI BSR-2)
2017,Mizoram,15,1281.0,7166.0,IDP bank-group wise deposits (RBI BSR-2)
2017,Nagaland,13,1350.0,9421.7,IDP bank-group wise deposits (RBI BSR-2)
2017,Odisha,21,56786.0,245281.2,IDP bank-group wise deposits (RBI BSR-2)
2017,Puducherry,34,2657.0,14606.3,IDP bank-group wise deposits (RBI BSR-2)
2017,Punjab,3,58042.0,330956.2,IDP bank-group wise deposits (RBI BSR-2)
2017,Rajasthan,8,82019.0,313672.9,IDP bank-group wise deposits (RBI BSR-2)
2017,Sikkim,11,973.0,6954.6,IDP bank-group wise deposits (RBI BSR-2)
2017,Tamil Nadu,33,129524.0,668506.9,IDP bank-group wise deposits (RBI BSR-2)
2017,Telangana,36,70624.0,407653.89999999997,IDP bank-group wise deposits (RBI BSR-2)
2017,Tripura,16,5871.0,20481.5,IDP bank-group wise deposits (RBI BSR-2)
2017,Uttar Pradesh,9,248146.0,885163.2,IDP bank-group wise deposits (RBI BSR-2)
2017,Uttarakhand,5,2.0,58.7,IDP bank-group wise deposits (RBI BSR-2)
2017,Uttrakhand,5,18350.0,114055.5,IDP bank-group wise deposits (RBI BSR-2)
2017,West Bengal,19,140514.0,682175.7,IDP bank-group wise deposits (RBI BSR-2)
2018,Andhra Pradesh,28,91175.427,274565.8859,IDP bank-group wise deposits (RBI BSR-2)
2018,Andman and Nocobar Islands,35,601.404,4683.3509,IDP bank-group wise deposits (RBI BSR-2)
2018,Arunachal Pradesh,12,1546.379,13448.9272,IDP bank-group wise deposits (RBI BSR-2)
2018,Assam,18,42720.628,134287.0908,IDP bank-group wise deposits (RBI BSR-2)
2018,Bihar,10,114165.114,314811.2411,IDP bank-group wise deposits (RBI BSR-2)
2018,Chandigarh,4,4254.424,61928.3963,IDP bank-group wise deposits (RBI BSR-2)
2018,Chhattisgarh,22,36974.712,132428.8082,IDP bank-group wise deposits (RBI BSR-2)
