march_year,state_name,state_code,no_of_deposit_accounts_thousand,deposit_amount_rs_crore,source,no_of_offices
2021,Jharkhand,20,50256.0,256069.0,IDP population-group wise deposits (RBI BSR-2),3190.0
2021,Karnataka,29,131365.0,1256020.0,IDP population-group wise deposits (RBI BSR-2),10875.0
2021,Kerala,32,76619.0,607628.0,IDP population-group wise deposits (RBI BSR-2),6868.0
2021,Ladakh,37,562.0,6162.0,IDP population-group wise deposits (RBI BSR-2),75.0
2021,Lakshadweep,31,88.0,1239.0,IDP population-group wise deposits (RBI BSR-2),21.0
2021,Madhya Pradesh,23,112594.0,453372.0,IDP population-group wise deposits (RBI BSR-2),7248.0
2021,Maharashtra,27,220075.0,3163107.0,IDP population-group wise deposits (RBI BSR-2),13648.0
2021,Manipur,14,3035.0,12282.0,IDP population-group wise deposits (RBI BSR-2),202.0
2021,Meghalaya,17,3132.0,25579.0,IDP population-group wise deposits (RBI BSR-2),363.0
2021,Mizoram,15,1496.0,11798.0,IDP population-group wise deposits (RBI BSR-2),205.0
2021,Nagaland,13,1394.0,11967.0,IDP population-group wise deposits (RBI BSR-2),170.0
2021,Odisha,21,68641.0,363564.0,IDP population-group wise deposits (RBI BSR-2),5289.0
2021,Puducherry,34,3075.0,22138.0,IDP population-group wise deposits (RBI BSR-2),268.0
2021,Punjab,3,60971.0,459024.0,IDP population-group wise deposits (RBI BSR-2),6700.0
2021,Rajasthan,8,99430.0,474437.0,IDP population-group wise deposits (RBI BSR-2),7871.0
2021,Sikkim,11,1105.0,10604.0,IDP population-group wise deposits (RBI BSR-2),164.0
2021,Tamil Nadu,33,151822.0,1008738.0,IDP population-group wise deposits (RBI BSR-2),12028.0
2021,Telangana,36,71310.0,605231.0,IDP population-group wise deposits (RBI BSR-2),5575.0
2021,The Dadra and Nagar Haveli and Daman and Diu,38,1549.0,11585.0,IDP population-group wise deposits (RBI BSR-2),104.0
2021,Tripura,16,5775.0,28361.0,IDP population-group wise deposits (RBI BSR-2),577.0
2021,Uttar Pradesh,9,283996.0,1277873.0,IDP population-group wise deposits (RBI BSR-2),18125.0
2021,Uttarakhand,5,20082.0,165331.0,IDP population-group wise deposits (RBI BSR-2),2220.0
2021,West Bengal,19,158614.0,889011.0,IDP population-group wise deposits (RBI BSR-2),9379.0
2022,Andaman and Nicobar Islands,35,579.0,6587.0,IDP population-group wise deposits (RBI BSR-2),69.0
2022,Andhra Pradesh,28,98495.0,385801.0,IDP population-group wise deposits (RBI BSR-2),7444.0
2022,Arunachal Pradesh,12,1727.0,22052.0,IDP population-group wise deposits (RBI BSR-2),155.0
2022,Assam,18,51977.0,189485.0,IDP population-group wise deposits (RBI BSR-2),3043.0
2022,Bihar,10,153931.0,442420.0,IDP population-group wise deposits (RBI BSR-2),7640.0
2022,Chandigarh,4,4527.0,89739.0,IDP population-group wise deposits (RBI BSR-2),438.0
2022,Chhattisgarh,22,44754.0,197248.0,IDP population-group wise deposits (RBI BSR-2),2897.0
2022,Delhi,7,57674.0,1489090.0,IDP population-group wise deposits (RBI BSR-2),3703.0
2022,Goa,30,6014.0,92899.0,IDP population-group wise deposits (RBI BSR-2),663.0
2022,Gujarat,24,108526.0,928471.0,IDP population-group wise deposits (RBI BSR-2),8599.0
2022,Haryana,6,60377.0,614018.0,IDP population-group wise deposits (RBI BSR-2),5190.0
2022,Himachal Pradesh,2,15320.0,123670.0,IDP population-group wise deposits (RBI BSR-2),1674.0
2022,Jammu and Kashmir,1,23104.0,153169.0,IDP population-group wise deposits (RBI BSR-2),1813.0
2022,Jharkhand,20,52989.0,282987.0,IDP population-group wise deposits (RBI BSR-2),3206.0
2022,Karnataka,29,133941.0,1382550.0,IDP population-group wise deposits (RBI BSR-2),10780.0
2022,Kerala,32,83162.0,670264.0,IDP population-group wise deposits (RBI BSR-2),6813.0
2022,Ladakh,37,586.0,7455.0,IDP population-group wise deposits (RBI BSR-2),81.0
2022,Lakshadweep,31,91.0,1230.0,IDP population-group wise deposits (RBI BSR-2),21.0
2022,Madhya Pradesh,23,119620.0,510317.0,IDP population-group wise deposits (RBI BSR-2),7338.0
2022,Maharashtra,27,233185.0,3491989.0,IDP population-group wise deposits (RBI BSR-2),13590.0
2022,Manipur,14,3449.0,13741.0,IDP population-group wise deposits (RBI BSR-2),218.0
2022,Meghalaya,17,3293.0,29196.0,IDP population-group wise deposits (RBI BSR-2),364.0
2022,Mizoram,15,1522.0,12897.0,IDP population-group wise deposits (RBI BSR-2),215.0
2022,Nagaland,13,1511.0,14110.0,IDP population-group wise deposits (RBI BSR-2),173.0
2022,Odisha,21,73804.0,421411.0,IDP population-group wise deposits (RBI BSR-2),5367.0
2022,Puducherry,34,3245.0,24552.0,IDP population-group wise deposits (RBI BSR-2),265.0
2022,Punjab,3,67765.0,510125.0,IDP population-group wise deposits (RBI BSR-2),6549.0
2022,Rajasthan,8,107917.0,530636.0,IDP population-group wise deposits (RBI BSR-2),7969.0
2022,Sikkim,11,1152.0,12410.0,IDP population-group wise deposits (RBI BSR-2),165.0
2022,Tamil Nadu,33,158084.0,1117409.0,IDP population-group wise deposits (RBI BSR-2),12094.0
2022,Telangana,36,74567.0,638626.0,IDP population-group wise deposits (RBI BSR-2),5601.0
2022,The Dadra and Nagar Haveli and Daman and Diu,38,1630.0,13210.0,IDP population-group wise deposits (RBI BSR-2),102.0
2022,Tripura,16,6096.0,31293.0,IDP population-group wise deposits (RBI BSR-2),588.0
2022,Uttar Pradesh,9,305324.0,1394173.0,IDP population-group wise deposits (RBI BSR-2),18073.0
2022,Uttarakhand,5,21882.0,180783.0,IDP population-group wise deposits (RBI BSR-2),2176.0
2022,West Bengal,19,172418.0,978183.0,IDP population-group wise deposits (RBI BSR-2),9616.0
