dependent,dv_label,column,regressor,coef,se,t,p,ci_lo,ci_hi,N,r2_within
norm_deposits_per_capita,USAGE   deposits Rs / capita,(3) + resources,atms_per_lakh_adults,-0.0015850514318568657,0.0012047782869649608,-1.3156374488204605,0.19074276263264656,-0.00396983618003575,0.0007997333163220191,165,0.5251862884412155
norm_deposits_per_capita,USAGE   deposits Rs / capita,(3) + resources,ln_nsdp_pc,-0.0005027310922844092,0.013060861814112704,-0.038491418057971585,0.9693582779843242,-0.026355906227797,0.02535044404322818,165,0.5251862884412155
norm_deposits_per_capita,USAGE   deposits Rs / capita,(4) + both,c_upi,0.13195600458365284,0.03891722879599658,3.390683475315364,0.0009399691388205511,0.054915463188061286,0.20899654597924439,165,0.8256280910324284
norm_deposits_per_capita,USAGE   deposits Rs / capita,(4) + both,upi_x_diglit_w,0.05562197227892706,0.027437437613367536,2.0272291116510095,0.04481812752103753,0.0013068241135199554,0.10993712044433417,165,0.8256280910324284
norm_deposits_per_capita,USAGE   deposits Rs / capita,(4) + both,upi_x_income_s,0.044833120467877116,0.01853619836724074,2.418679363461672,0.017054051246308655,0.008138864432483114,0.08152737650327112,165,0.8256280910324284
norm_deposits_per_capita,USAGE   deposits Rs / capita,(4) + both,branches_per_lakh_adults,-0.007804362246733202,0.004930833846458674,-1.5827672336471643,0.11606350562505097,-0.017565440330020596,0.0019567158365541935,165,0.8256280910324284
norm_deposits_per_capita,USAGE   deposits Rs / capita,(4) + both,atms_per_lakh_adults,-0.001422536745248992,0.0012939488579692105,-1.0993763288926224,0.2737686566754731,-0.003984037747252766,0.0011389642567547818,165,0.8256280910324284
norm_deposits_per_capita,USAGE   deposits Rs / capita,(4) + both,ln_nsdp_pc,0.0033634233733222984,0.016235971293978406,0.20715874107080517,0.836231262369886,-0.028777303427349906,0.035504150173994505,165,0.8256280910324284
norm_credit_per_capita,USAGE   credit Rs / capita,(1) UPI only,c_upi,0.14481400847424963,0.01977007033579447,7.324911141669452,2.6616486792363503e-11,0.10568350135473217,0.1839445155937671,165,0.6386458625532921
norm_credit_per_capita,USAGE   credit Rs / capita,(1) UPI only,branches_per_lakh_adults,0.002683720692922653,0.0018529652600951787,1.4483383745601373,0.15004634518760263,-0.0009838166031432777,0.006351257988988584,165,0.6386458625532921
norm_credit_per_capita,USAGE   credit Rs / capita,(1) UPI only,atms_per_lakh_adults,0.0011911675489966972,0.0007440836844685557,1.6008515894921962,0.11195446161814493,-0.000281582492761996,0.0026639175907553904,165,0.6386458625532921
norm_credit_per_capita,USAGE   credit Rs / capita,(1) UPI only,ln_nsdp_pc,0.005168109862437388,0.006697312606087631,0.7716692002311122,0.4417784746348661,-0.008087747813478903,0.01842396753835368,165,0.6386458625532921
norm_credit_per_capita,USAGE   credit Rs / capita,(2) + skills,c_upi,0.14474723470801046,0.019948975144426145,7.2558732295806,3.9229730575129906e-11,0.10525946157916857,0.18423500783685234,165,0.6376265062929913
norm_credit_per_capita,USAGE   credit Rs / capita,(2) + skills,upi_x_diglit_w,0.00129896424470353,0.012024922688748788,0.10802266911195328,0.9141537231140071,-0.022503632910662,0.025101561400069063,165,0.6376265062929913
norm_credit_per_capita,USAGE   credit Rs / capita,(2) + skills,branches_per_lakh_adults,0.002815420646175665,0.0015740156388443262,1.7886865776268928,0.07612680187407572,-0.00030024680029464403,0.0059310880926459735,165,0.6376265062929913
norm_credit_per_capita,USAGE   credit Rs / capita,(2) + skills,atms_per_lakh_adults,0.0011951570467292896,0.000715336691611997,1.6707615598970982,0.09731141842191948,-0.00022080807351415556,0.0026111221669727347,165,0.6376265062929913
norm_credit_per_capita,USAGE   credit Rs / capita,(2) + skills,ln_nsdp_pc,0.005422127756503952,0.007685987934190384,0.705456188967476,0.4818602677196884,-0.009791814093592857,0.020636069606600763,165,0.6376265062929913
norm_credit_per_capita,USAGE   credit Rs / capita,(3) + resources,c_upi,0.10061034242880806,0.031736854416834215,3.1701422298311077,0.0019232482208253465,0.037789185052952146,0.16343149980466398,165,0.7267585059368682
norm_credit_per_capita,USAGE   credit Rs / capita,(3) + resources,upi_x_income_s,0.022784580217330073,0.012527341713516044,1.8187881147001246,0.07137658522467549,-0.002012524591786618,0.04758168502644676,165,0.7267585059368682
norm_credit_per_capita,USAGE   credit Rs / capita,(3) + resources,branches_per_lakh_adults,0.003504902907186829,0.0017763303982122173,1.9731142982827568,0.05072505567665786,-1.1234200541626431e-05,0.007021040014915284,165,0.7267585059368682
norm_credit_per_capita,USAGE   credit Rs / capita,(3) + resources,atms_per_lakh_adults,0.0011943970071037727,0.0006335521424071882,1.8852386838526793,0.061756836038724394,-5.968061260075712e-05,0.0024484746268083023,165,0.7267585059368682
norm_credit_per_capita,USAGE   credit Rs / capita,(3) + resources,ln_nsdp_pc,0.007890567030352985,0.007014988276064448,1.1248154266025023,0.2628574733466109,-0.005995172138764965,0.021776306199470935,165,0.7267585059368682
norm_credit_per_capita,USAGE   credit Rs / capita,(4) + both,c_upi,0.04369045243305338,0.03158780473839671,1.3831430450735072,0.1691470564295754,-0.018840761988736417,0.10622166685484319,165,0.6389736498262653
norm_credit_per_capita,USAGE   credit Rs / capita,(4) + both,upi_x_diglit_w,-0.028528823290305733,0.014163679099889012,-2.01422406488504,0.046185392641335365,-0.05656724071536977,-0.0004904058652417005,165,0.6389736498262653
norm_credit_per_capita,USAGE   credit Rs / capita,(4) + both,upi_x_income_s,0.05287959972147253,0.011822279261863656,4.472876892026371,1.7430938520357486e-05,0.029476217131252126,0.07628298231169292,165,0.6389736498262653
norm_credit_per_capita,USAGE   credit Rs / capita,(4) + both,branches_per_lakh_adults,0.0016970689015419142,0.0012429796773200021,1.3653231283724423,0.17466377460565696,-0.0007635335166421232,0.004157671319725951,165,0.6389736498262653
norm_credit_per_capita,USAGE   credit Rs / capita,(4) + both,atms_per_lakh_adults,0.0011110423077582414,0.0006450000712427375,1.7225460233168175,0.08750462343591248,-0.00016579975489775488,0.0023878843704142378,165,0.6389736498262653
norm_credit_per_capita,USAGE   credit Rs / capita,(4) + both,ln_nsdp_pc,0.005907594599795951,0.007532334257770308,0.7842979875331096,0.43438545860039257,-0.009003413381606895,0.020818602581198796,165,0.6389736498262653
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(1) UPI only,c_upi,0.19258223271167252,0.15135010653021186,1.2724287886327326,0.20560164364032163,-0.10698202378960242,0.49214648921294746,165,0.23076127918370393
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(1) UPI only,branches_per_lakh_adults,0.001823984519887358,0.010454335181378725,0.17447159367304788,0.8617793938155969,-0.018868073236938163,0.022516042276712882,165,0.23076127918370393
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(1) UPI only,atms_per_lakh_adults,-0.011457781685291966,0.00798978512094126,-1.4340537964232696,0.15407388312784298,-0.02727180451111632,0.004356241140532388,165,0.23076127918370393
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(1) UPI only,ln_nsdp_pc,-0.022252148049225345,0.034441848945564284,-0.6460787887547822,0.519422237924196,-0.09042221484628862,0.04591791874783793,165,0.23076127918370393
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(2) + skills,c_upi,0.18770055521459592,0.1320646834286534,1.4212774402779622,0.15776653789656803,-0.07371338809868119,0.449114498527873,165,0.2885541335602744
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(2) + skills,upi_x_diglit_w,0.0949643082907821,0.05735317696156023,1.65578113230641,0.10031530278807677,-0.018562788899932223,0.20849140548149642,165,0.2885541335602744
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(2) + skills,branches_per_lakh_adults,0.011452267217888085,0.011438914541559828,1.0011673027436077,0.3187114564558371,-0.01119036274115177,0.034094897176927944,165,0.2885541335602744
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(2) + skills,atms_per_lakh_adults,-0.01116611862054783,0.007117435292688529,-1.568840201753342,0.11925422655886253,-0.025254645377543884,0.002922408136448224,165,0.2885541335602744
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(2) + skills,ln_nsdp_pc,-0.0036814801483414567,0.04553125175451859,-0.08085611544769579,0.9356877970450401,-0.0938078012519579,0.08644484095527499,165,0.2885541335602744
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(3) + resources,c_upi,0.038720547865576875,0.14290922842019987,0.2709450487810752,0.7868874579904372,-0.24415950732620212,0.3216006030573559,165,0.06158758005132248
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(3) + resources,upi_x_income_s,0.07930731123399543,0.06812272447385871,1.1641829044055434,0.24660306161031897,-0.05553744492351287,0.21415206739150372,165,0.06158758005132248
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(3) + resources,branches_per_lakh_adults,0.004682310318531465,0.010542214641134166,0.44414864218963834,0.6577155504378238,-0.01618535716868652,0.025549977805749448,165,0.06158758005132248
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(3) + resources,atms_per_lakh_adults,-0.011446540765478127,0.007615129841518884,-1.5031313981108751,0.13536837574971705,-0.026520223365789044,0.00362714183483279,165,0.06158758005132248
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(3) + resources,ln_nsdp_pc,-0.012775969165188677,0.037320321845762484,-0.3423327702796678,0.7326847480974963,-0.08664925796682366,0.061097319636446296,165,0.06158758005132248
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(4) + both,c_upi,0.2861906650318427,0.15866085741595795,1.8037887207526078,0.07373200116318879,-0.027894349029373544,0.600275679093059,165,0.3125230128856372
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(4) + both,upi_x_diglit_w,0.12403452014391146,0.05258311708486473,2.358827833346779,0.019921634272515476,0.01994098795226454,0.22812805233555838,165,0.3125230128856372
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(4) + both,upi_x_income_s,-0.05153654674546772,0.05351313545084001,-0.963063485465394,0.33742067023225175,-0.15747114318138963,0.0543980496904542,165,0.3125230128856372
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(4) + both,branches_per_lakh_adults,0.01254221470744499,0.011513192539538862,1.0893776564903468,0.27813452862743926,-0.010249299844819417,0.035333729259709394,165,0.3125230128856372
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(4) + both,atms_per_lakh_adults,-0.011084140254603348,0.007161508407701119,-1.5477382170890188,0.12427552278216347,-0.025261061428269525,0.0030927809190628274,165,0.3125230128856372
norm_deposit_accts_per_adult,"ACCESS  deposit accounts / adult (entangled, D17)",(4) + both,ln_nsdp_pc,-0.004154616949574339,0.046719016899274025,-0.08892774774203133,0.9292851487271201,-0.09663957712639241,0.08833034322724374,165,0.3125230128856372
Access,composite Access,(1) UPI only,c_upi,0.3157830160478902,0.08732213326980498,3.61629983399735,0.00043317999526326645,0.14294805392744592,0.4886179781683345,165,0.6091042684542921
Access,composite Access,(1) UPI only,branches_per_lakh_adults,0.005446841642771937,0.00608333258412898,0.8953713392199522,0.37232340885696225,-0.006593777583688985,0.01748746086923286,165,0.6091042684542921
Access,composite Access,(1) UPI only,atms_per_lakh_adults,-0.006077768248727143,0.0032894187285820043,-1.8476724157727207,0.0670328602700685,-0.012588449333397127,0.0004329128359428407,165,0.6091042684542921
Access,composite Access,(1) UPI only,ln_nsdp_pc,0.00949890737843931,0.024676223890899452,0.38494169206912127,0.7009400758169662,-0.03934225192170767,0.05834006667858629,165,0.6091042684542921
Access,composite Access,(2) + skills,c_upi,0.3144110602638568,0.08201877461577564,3.833403531529748,0.00020058657749411068,0.15205992488544184,0.47676219564227174,165,0.6144220941731078
Access,composite Access,(2) + skills,upi_x_diglit_w,0.026688947009361946,0.029799573386390756,0.8956150701657558,0.37220777135032046,-0.03229748135093677,0.08567537536966066,165,0.6144220941731078
Access,composite Access,(2) + skills,branches_per_lakh_adults,0.008152792239824208,0.006092847486876105,1.3380922889314382,0.18333485614151623,-0.003907625778071867,0.020213210257720285,165,0.6144220941731078
Access,composite Access,(2) + skills,atms_per_lakh_adults,-0.005995798714913353,0.003026097298581107,-1.981363493409381,0.049781084679040966,-0.011985772772581137,-5.824657245568493e-06,165,0.6144220941731078
Access,composite Access,(2) + skills,ln_nsdp_pc,0.014718042656269354,0.029057252428208478,0.5065187320319808,0.6133992963497616,-0.04279900688264784,0.07223509219518655,165,0.6144220941731078
Access,composite Access,(3) + resources,c_upi,0.267581051031689,0.10140687627856139,2.638687442621273,0.009399027611021182,0.06685235719143415,0.4683097448719439,165,0.618223973271179
Access,composite Access,(3) + resources,upi_x_income_s,0.024845485381587082,0.0354223502102133,0.7014070278832994,0.4843739944905352,-0.04527088494143204,0.0949618557046062,165,0.618223973271179
Access,composite Access,(3) + resources,branches_per_lakh_adults,0.00634230122576665,0.005986388676812784,1.0594536319254428,0.29146930301772,-0.005507388105121089,0.018191990556654387,165,0.618223973271179
Access,composite Access,(3) + resources,atms_per_lakh_adults,-0.00607424668048123,0.003176985346880925,-1.9119530048965303,0.058208138697402934,-0.0123628943780719,0.00021440101710944095,165,0.618223973271179
Access,composite Access,(3) + resources,ln_nsdp_pc,0.012467615562757564,0.026111584780271008,0.47747448757601474,0.6338716517647183,-0.0392186654804044,0.06415389660591952,165,0.618223973271179
Access,composite Access,(4) + both,c_upi,0.3300249981669417,0.10272593982749138,3.2126744103889995,0.0016821511803939426,0.126668740167014,0.5333812561668694,165,0.6060160933685715
Access,composite Access,(4) + both,upi_x_diglit_w,0.03129753647632994,0.034979834031062515,0.8947308454504773,0.3726927923569061,-0.03794853872104421,0.1005436116737041,165,0.6060160933685715
Access,composite Access,(4) + both,upi_x_income_s,-0.008170246150768902,0.038272363121672405,-0.21347639613458713,0.831311737219594,-0.08393421153582811,0.0675937192342903,165,0.6060160933685715
Access,composite Access,(4) + both,branches_per_lakh_adults,0.008325584944098205,0.0062916915899403,1.3232665373188142,0.1882213627386573,-0.004129446962823019,0.02078061685101943,165,0.6060160933685715
Access,composite Access,(4) + both,atms_per_lakh_adults,-0.005982802434194116,0.003051595989480853,-1.9605486620173234,0.05221069348357532,-0.012023741484160726,5.813661577249406e-05,165,0.6060160933685715
Access,composite Access,(4) + both,ln_nsdp_pc,0.014643034834186254,0.029350405485708702,0.49890400462495277,0.6187453997652164,-0.043459024298856265,0.07274509396722878,165,0.6060160933685715
Usage,composite Usage,(1) UPI only,c_upi,0.18330432292476417,0.027576420509160926,6.647139822366366,8.488634239967041e-10,0.12872286212384762,0.23788578372568073,165,0.8633214648185774
Usage,composite Usage,(1) UPI only,branches_per_lakh_adults,-0.006187951521567188,0.0026246443034388966,-2.3576343329492406,0.019956914011308502,-0.011382857804523996,-0.0009930452386103794,165,0.8633214648185774
