march_year,fy_end,state_key,no_of_credit_accounts,credit_outstanding_rs_crore,credit_offices,credit_src,no_of_deposit_accounts,deposit_amount_rs_crore,no_of_offices,deposit_src
2020,2020,gujarat,9699503,543038.8289,7517,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",103155310.0,738912.2492,8626.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,haryana,5365664,250466.4527,4311,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",54161437.0,475351.6274,5224.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,himachal pradesh,845151,29189.6536,1346,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",14095312.0,103544.6093,1652.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,jammu and kashmir,2388608,57812.1878,1461,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",22158550.0,132980.3413,1835.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,jharkhand,3825875,63602.9419,2625,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",47965103.0,234105.5142,3169.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,karnataka,16034297,659094.1659,8549,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",132963226.0,1061241.8786,10778.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,kerala,11832389,336474.0195,5844,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",76371710.0,545023.8033,6801.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,lakshadweep,4971,96.5768,13,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",102342.0,1114.6209,13.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,madhya pradesh,9355399,262243.899,5641,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",110583441.0,396778.9348,7234.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,maharashtra,51034142,2855325.6755,12008,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",211184851.0,2807751.0244,13578.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,manipur,216015,5767.3136,172,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",2896180.0,10368.8324,203.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,meghalaya,223344,7617.8834,262,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",2995065.0,23755.9773,364.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,mizoram,94839,2551.2283,112,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1490844.0,11332.1984,203.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,nagaland,164355,4561.7808,161,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1571267.0,12242.2413,176.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,odisha,7253754,126844.2928,4081,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",65762478.0,341140.1865,5223.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,puducherry,600588,12140.0135,214,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",3034786.0,20042.6096,267.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,punjab,5531327,227892.616,6049,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",62079607.0,410987.0131,6735.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,rajasthan,9121408,312919.9761,5947,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",96474388.0,420149.6877,7775.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,sikkim,102013,3158.7149,160,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1094265.0,10129.9112,162.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,tamil nadu,35820637,954276.6661,10594,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",150024247.0,899037.531,11829.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,telangana,8951513,493295.9513,4288,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",69524662.0,498183.9804,5388.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,tripura,737881,8498.5144,409,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",5563642.0,26486.635,565.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,uttar pradesh,15904239,422533.198,13114,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",281156529.0,1144902.0633,18041.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,uttarakhand,1317075,52200.6089,1815,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",20252707.0,149549.3211,2194.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2020,2020,west bengal,14348369,396897.0752,7966,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",152653530.0,827831.789,9251.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,andaman and nicobar islands,57035,2795.2096,69,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",583380.0,6043.3168,72.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,andhra pradesh,13169442,434888.218,5930,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",95917846.0,359770.0462,7431.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,arunachal pradesh,109693,4720.2966,132,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1603533.0,19525.1886,169.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,assam,5378910,76466.7008,2428,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",47975276.0,173013.5673,3020.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,bihar,10796631,138927.3961,5263,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",142163767.0,397491.6831,7584.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,chandigarh,576544,78152.8793,384,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",4275328.0,81320.1926,442.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,chhattisgarh,2860184,104136.439,2145,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",42380082.0,173216.7106,2844.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,dadra and nagar haveli and daman and diu,111737,4089.4123,104,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1548725.0,11586.1021,104.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,delhi,6369108,1315663.4217,3510,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",52543234.0,1400864.0287,3747.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,goa,474863,21037.7284,659,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",5868775.0,85771.2951,687.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,gujarat,10445820,569804.6558,7541,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",105125462.0,830161.0341,8582.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,haryana,5944910,276803.6931,4347,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",54791434.0,538564.7577,5225.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,himachal pradesh,953588,32328.2784,1361,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",13811004.0,112344.3356,1683.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,jammu and kashmir,2448300,68354.3333,1476,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",22646991.0,149058.25650000002,1875.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,jharkhand,4318552,72920.785,2659,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",50250909.0,256069.774,3190.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,karnataka,17322557,714113.1023,8659,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",131364488.0,1256023.429,10875.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
2021,2021,kerala,11686495,360305.8833,5969,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",76629780.0,607649.0836,6869.0,"RBI DBIE BSR-2 Table 2.3 (annual, incl RRBs)"
