state_key,fy_end,branches,atms,credit_accounts,deposit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,pop_18plus_000,pop_total_000,branches_per_lakh_adults,atms_per_lakh_adults,deposit_accts_per_adult,credit_accts_per_adult,deposits_per_capita,credit_per_capita,norm_deposit_accts_per_adult,norm_credit_accts_per_adult,norm_deposits_per_capita,norm_credit_per_capita,Access,Usage,AUG,ln_nsdp_pc,txn_count,txn_amount_inr,txn_count_p2p,txn_count_retail,txn_count_utility,registered_users_31mar,pp_users_per_adult,pp_txns_per_capita,pp_value_per_capita,pp_value_to_nsdp,pp_ticket_size_rs,ln_pp_users_per_adult,ln_pp_txns_per_capita,ln_pp_value_per_capita
ARUNACHAL PRADESH,2019,155.0,207.0,91622.0,1548936.0,16659.0,3869.0,155103.0,1034.1,1504.0,14.988879218644232,20.017406440382945,1.4978590078328984,0.0886007155981046,110764.62765957449,25724.73404255319,0.0722751839926845,0.0114532224040855,0.1070479419784067,0.024101708698672,0.041864203198385,0.0655748253385393,-0.0237106221401543,11.951844691337335,776624,1990153904.2255032,279732,488744,8148.0,88991.0,0.086056474228798,0.5163723404255319,1323.2406278095102,0.008531367077422811,2562.5706960195707,-2.4527515211676305,-0.6609271837494827,7.187839028007184
ARUNACHAL PRADESH,2020,164.0,249.0,114234.0,1668551.0,17171.0,4338.0,182171.0,1058.1,1519.0,15.499480200359136,23.53274737737454,1.5769312919383802,0.1079614403175503,113041.47465437787,28558.26201448321,0.0835749163676069,0.036081571387332,0.1099485927072591,0.0280896249653138,0.0598282438774695,0.0690191088362865,-0.0091908649588169,12.112701085387862,2110367,5954407867.609406,866832,1012783,230752.0,169049.0,0.1597665627067385,1.3893133640552995,3919.9525132385825,0.021517983176458286,2821.5034956523705,-1.834041512183359,0.32880964239892496,8.273834818741385
ARUNACHAL PRADESH,2021,169.0,254.0,130083.0,1603533.0,19525.0,5897.0,181537.0,1081.7,1533.0,15.623555514467968,23.481556808727003,1.482419339927891,0.1202579273365997,127364.64448793216,38467.05805609915,0.0700687962898641,0.0517236600984503,0.12819598179928,0.0420352959834408,0.0608962281941572,0.0851156388913604,-0.0242194106972032,12.10921476866039,5037736,14846765417.099852,2144552,1640726,1252458.0,279538.0,0.25842470185818617,3.286194390084801,9684.778484735716,0.05334878556291949,2947.110649922872,-1.3531509162162247,1.189730174920997,9.17831070358528
ARUNACHAL PRADESH,2022,172.0,274.0,135606.0,1946181.0,24121.0,6053.0,190851.0,1103.9,1548.0,15.581121478394785,24.82108886674518,1.7630048011595254,0.1228426487906513,155820.4134366925,39102.06718346253,0.1101655338013561,0.0550116269962457,0.1644479772691842,0.0429290098460054,0.0825885803988009,0.1036884935575948,-0.0210999131587938,12.159248297876704,11103928,30914662515.980244,5524678,2401306,3177944.0,378277.0,0.34267324938853155,7.173080103359173,19970.71221962548,0.10464033313750244,2784.119504015178,-1.0709779115418356,1.9703351444260353,9.90202209025189
ARUNACHAL PRADESH,2023,187.0,283.0,148780.0,2093419.0,26656.0,7510.0,204469.0,1125.5,1562.0,16.614837849844513,25.14438027543314,1.859990226565971,0.1321901377165704,170653.00896286813,48079.38540332906,0.124025122704832,0.0669023605674608,0.183344362982397,0.0555637160195396,0.0954637416361464,0.1194540395009683,-0.0239902978648219,12.22817165373213,27121308,57221528096.05059,12956372,9635070,4529866.0,493307.0,0.43830031097290095,17.363193341869398,36633.50070169692,0.1791640820940921,2109.8365940186436,-0.8248509620597906,2.8543526405801627,10.508718420458305
ASSAM,2019,2404.0,3700.0,4565307.0,41005351.0,147091.0,67360.0,81034.0,22702.9,34293.0,10.58895559598113,16.29747741477961,1.806172383263812,0.2010891560109061,42892.42702592366,19642.492636981307,0.1163343466865414,0.1545472752979343,0.0205803186878849,0.0155415428279954,0.1354408109922379,0.0180609307579402,0.1173798802342977,11.302624098669314,13967217,22214537015.4834,4978222,8588416,400579.0,1461630.0,0.06438076192909276,0.4072906132446855,647.7863416873239,0.007994006734053902,1590.4769730063906,-2.742940418308988,-0.8982283108867711,6.4735609223644826
ASSAM,2020,2957.0,3926.0,5328692.0,44199128.0,164299.0,72954.0,90123.0,23178.0,34668.0,12.757787557166278,16.938476141168348,1.90694313573216,0.2299030114764,47392.11953386408,21043.61370716511,0.1307348733311605,0.1912007424713123,0.026312823499389,0.0175134850719658,0.1609678079012364,0.0219131542856774,0.1390546536155589,11.408930682940186,27206629,56679473553.30218,11721338,12542472,2942819.0,2534072.0,0.10933091724911555,0.78477642206069,1634.9219324247772,0.018141006540225883,2083.2964478363774,-2.213376057841535,-0.24235641442809894,7.399350334438964
ASSAM,2021,3020.0,4218.0,6014883.0,47975276.0,173014.0,83235.0,86947.0,23658.0,35043.0,12.765237974469525,17.829064164341872,2.027866937188266,0.2542430890185138,49371.91450503667,23752.24723910624,0.1480153478952881,0.2221632158638695,0.0288350367790767,0.0213256245071174,0.1850892818795788,0.0250803306430971,0.1600089512364816,11.373054016599507,55090978,126623992236.7572,23269877,18078968,13742133.0,3929145.0,0.16608102967283794,1.5720965100019975,3613.3890430829897,0.041558524653903986,2298.452429665656,-1.7952794791632956,0.4524100852535753,8.19240140403407
ASSAM,2022,3043.0,4426.0,5531837.0,51977238.0,189483.0,95992.0,103371.0,24096.3,35378.0,12.628494831156653,18.367965206276484,2.1570630345737727,0.2295720504807792,53559.5567867036,27133.24665046074,0.1664779652441579,0.1907797343211471,0.0341699967760436,0.0260840538163094,0.1786288497826525,0.0301270252961765,0.1485018244864759,11.546079737502389,136368851,304054245176.4786,61297563,37635122,37436166.0,5551092.0,0.23037113581753216,3.8546229577703657,8594.444151067855,0.08314173366870646,2229.6458681497475,-1.4680636365781552,1.3492731962061262,9.058871244529383
ASSAM,2023,3085.0,4670.0,5233473.0,56882605.0,207312.0,112374.0,121573.0,24538.6,35713.0,12.572029374128924,19.031240576071983,2.3180868101684693,0.2132751257202937,58049.44978019209,31465.852770699745,0.1894888797612142,0.1700487773879172,0.0398900172314174,0.0321817774297751,0.1797688285745657,0.0360358973305962,0.1437329312439695,11.708270184386103,361442763,662579690506.7854,152381670,150424553,58636540.0,7478158.0,0.30475080077918054,10.120761711421611,18552.89923856258,0.15260706932100532,1833.152461007458,-1.1882608829648793,2.3145889289538677,9.82838134900704
