state_key,fy_end,branches,credit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,deposit_accounts,pop_18plus_000,pop_total_000,branches_per_lakh_adults,deposit_accts_per_adult,credit_accts_per_adult,deposits_per_capita,credit_per_capita,norm_deposit_accts_per_adult,norm_credit_accts_per_adult,norm_deposits_per_capita,norm_credit_per_capita,Access,Usage,AUG,ln_nsdp_pc
ASSAM,2020,2957.0,5328692.0,164299.0,72954.0,90123.0,44199128.0,23178.0,34668.0,12.757787557166278,1.9069431357321598,0.22990301147640002,47392.11953386408,21043.61370716511,0.19498537402183808,0.21885029020140223,0.042902959221182084,0.02396581067406587,0.20691783211162015,0.03343438494762398,0.17348344716399616,11.408930682940186
ASSAM,2021,3020.0,6014883.0,173014.0,83235.0,86947.0,47975276.0,23658.0,35043.0,12.765237974469523,2.027866937188266,0.25424308901851383,49371.91450503667,23752.24723910624,0.21098858678303054,0.24875428291665883,0.0453821978559949,0.027752914483280162,0.22987143484984468,0.03656755616963753,0.19330387868020715,11.373054016599507
ASSAM,2022,3043.0,5531837.0,189483.0,95992.0,103371.0,51977238.0,24096.3,35378.0,12.628494831156651,2.1570630345737727,0.2295720504807792,53559.5567867036,27133.24665046074,0.22808656591930912,0.2184436746027068,0.050626258319152455,0.03248009355667657,0.22326512026100798,0.04155317593791451,0.18171194432309346,11.546079737502387
ASSAM,2023,3085.0,5233473.0,207312.0,112374.0,121573.0,56882605.0,24538.6,35713.0,12.572029374128924,2.3180868101684693,0.21327512572029375,58049.44978019209,31465.852770699745,0.24939666128037677,0.19842142453076564,0.05624881840123967,0.038537771329728264,0.2239090429055712,0.047393294865483965,0.17651574804008724,11.708270184386105
BIHAR,2012,4650.0,4863478.0,139350.0,41413.0,21750.0,40073000.0,57360.1,106115.0,8.106680427684053,0.6986215156528667,0.08478852024316555,13131.979456250294,3902.6527823587617,0.03507452324448511,0.04056397697136024,0.0,0.0,0.03781925010792267,0.0,0.03781925010792267,9.98736903651683
BIHAR,2013,4990.0,5397248.0,163491.0,49832.0,24487.0,46564000.0,58961.8,108130.0,8.463106621575324,0.789731656767602,0.09153804666750337,15119.855729214834,4608.526773328401,0.04713215751833509,0.04885638231294575,0.0024893586098172554,0.0009869249747161868,0.04799426991564042,0.001738141792266721,0.046256128123373694,10.105897643463425
BIHAR,2014,5696.0,5474477.0,190434.0,62462.0,26948.0,54656000.0,60582.6,110145.0,9.40203952950187,0.9021732312578199,0.09036385034646911,17289.391256979437,5670.888374415543,0.062012821358725455,0.04741377564212739,0.005206203726787761,0.0024722767651286937,0.05471329850042642,0.003839240245958227,0.050874058254468196,10.20166436208055
BIHAR,2015,6210.0,5919120.0,216810.0,72862.0,28671.0,66634000.0,62223.0,112161.0,9.980232389952269,1.0708901853012551,0.0951275251916494,19330.248482092706,6496.1974304794,0.0843410419361896,0.05326638221750279,0.0077619088145933395,0.003626191103536293,0.0688037120768462,0.005694049959064816,0.06310966211778138,10.26364143793429
BIHAR,2016,6445.0,7295681.0,243073.0,81270.0,30404.0,87936000.0,63882.0,114176.0,10.088913935067781,1.3765379919226073,0.11420558216712062,21289.325252242154,7117.958239910314,0.12479086918652456,0.07670550544250614,0.010215202659582806,0.004495512369055925,0.10074818731451535,0.007355357514319366,0.09339282980019598,10.322329457685932
BIHAR,2017,6675.0,7825246.0,295173.0,91294.0,34045.0,104583000.0,65742.1,115957.0,10.15331119632625,1.5908071083826039,0.11902944992630292,25455.384323499227,7873.0908871391985,0.1531475220337866,0.08263206447175979,0.015432235107268785,0.00555130884025044,0.11788979325277318,0.010491771973759612,0.10739802127901357,10.435438457917067
BIHAR,2018,6729.0,8348492.0,314811.0,101253.0,36850.0,114165114.0,67629.3,117739.0,9.949829437832419,1.688101370264072,0.12344489740393587,26738.039222347736,8599.784268594094,0.1660235708726704,0.0880568421446031,0.01703846586684774,0.006567342659733726,0.12704020650863673,0.011802904263290732,0.11523730224534601,10.514610897617482
BIHAR,2019,6917.0,10079827.0,353169.0,124996.0,40715.0,125866480.0,69542.5,119520.0,9.946435632886365,1.8099217025559908,0.1449448466764928,29548.94578313253,10458.165997322623,0.18214543168775887,0.11447147970327595,0.020558480942054716,0.009165658172278676,0.14830845569551743,0.014862069557166697,0.13344638613835072,10.614351853901232
BIHAR,2020,7463.0,12646671.0,375707.0,139590.0,44175.0,134966208.0,71482.8,121302.0,10.440273744173425,1.8880934714364854,0.17691907703671372,30972.86112347694,11507.642083395163,0.19249078499496047,0.15375472151356256,0.022341607970806397,0.010632993947449536,0.17312275325426152,0.016487300959127968,0.15663545229513354,10.695914297187898
