state_key,fy_end,branches,atms,credit_accounts,deposit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,pop_18plus_000,pop_total_000,branches_per_lakh_adults,atms_per_lakh_adults,deposit_accts_per_adult,credit_accts_per_adult,deposits_per_capita,credit_per_capita,norm_deposit_accts_per_adult,norm_credit_accts_per_adult,norm_deposits_per_capita,norm_credit_per_capita,Access,Usage,AUG,ln_nsdp_pc
GOA,2021,687.0,989.0,529515.0,5868775.0,85771.0,22166.0,423047.0,1076.7,1559.0,63.806074115352466,91.85474133927742,5.450705860499675,0.49179437169127893,550166.7735728031,142180.8851828095,0.6371521451110025,0.5243469396583893,0.6668361744382599,0.1880024656643422,0.5807495423846959,0.42741932005130107,0.15333022233339483,12.955238562967144
GOA,2022,663.0,1027.0,545107.0,6013367.0,92900.0,24092.0,459094.0,1090.0,1567.0,60.825688073394495,94.22018348623853,5.516850458715596,0.5000981651376146,592852.5845564774,153746.01148691768,0.6466044616381137,0.5349100113328574,0.7212169163256358,0.20427926115420852,0.5907572364854856,0.4627480887399221,0.1280091477455635,13.037010261103775
GOA,2023,668.0,1038.0,576839.0,6320770.0,102038.0,27004.0,532854.0,1103.3,1575.0,60.54563581981329,94.08139218707514,5.728967642526965,0.5228305991117557,647860.3174603175,171453.96825396825,0.6769168199606997,0.5638274369595663,0.7912955034701447,0.2292014957465183,0.620372128460133,0.5102484996083315,0.11012362885180149,13.186002744423966
GUJARAT,2018,7959.0,11726.0,7689200.0,94293480.0,640358.0,483921.0,176961.0,46039.1,67010.0,17.28747955542137,25.469655140956274,2.0481173611126193,0.16701455936367132,95561.55797642143,72216.23638262946,0.15090921106634142,0.1112017358177631,0.08767958070604996,0.0895339967435726,0.13105547344205226,0.08860678872481129,0.042448684717240975,12.083684648294716
GUJARAT,2019,8150.0,11476.0,9404949.0,98768872.0,674922.0,591533.0,197457.0,46986.9,67936.0,17.345260061847025,24.42382876929527,2.1020512525831667,0.2001610874520345,99346.73810645314,87072.09726801695,0.1586165708125492,0.15336669984533724,0.09250181317405214,0.11044218253411271,0.15599163532894322,0.10147199785408242,0.0545196374748608,12.193276118099556
GUJARAT,2020,8626.0,12111.0,11538101.0,103155310.0,738912.0,611499.0,212428.0,47943.2,68862.0,17.992124013415875,25.261142351782944,2.1516150361260826,0.24066188740009012,107303.30225668728,88800.64476779646,0.16569942539123342,0.20488687017344084,0.10263829298767728,0.1128749457749635,0.18529314778233713,0.10775661938132039,0.07753652840101674,12.266358386403535
GUJARAT,2021,8582.0,12283.0,12769737.0,105125462.0,830161.0,659772.0,207324.0,48908.0,69788.0,17.5472315367629,25.114500695182794,2.1494533000736076,0.2610971006788256,118954.69135094859,94539.46237175446,0.165390505026348,0.23088205224791533,0.11748189483951381,0.12095177589657556,0.19813627863713168,0.11921683536804469,0.078919443269087,12.242038065962783
GUJARAT,2022,8599.0,13570.0,14327974.0,108522063.0,928468.0,758868.0,241584.0,49774.1,70648.0,17.27605320839553,27.263175024761875,2.1802918184356925,0.28786003162287216,131421.6962971351,107415.35499943381,0.16979744746228218,0.2649265837753167,0.1333645725364774,0.13907334807307375,0.21736201561879942,0.1362189603047756,0.08114305531402383,12.39497251768425
GUJARAT,2023,8862.0,14297.0,15470786.0,115748971.0,1027453.0,828364.0,272451.0,50645.8,71507.0,17.497995885147436,28.229389208976855,2.285460413301794,0.3054702660437786,143685.65315283817,115843.76354762471,0.18482644263647366,0.28732817283149753,0.14898857163404589,0.15093551703141989,0.2360773077339856,0.14996204433273289,0.08611526340125272,12.515214060402746
HARYANA,2018,4849.0,6497.0,4489417.0,50062029.0,366393.0,214888.0,208437.0,19279.7,28266.0,25.150806288479593,33.69865713678117,2.5966186714523567,0.232857202134888,129623.22224580769,76023.49112007358,0.22929214997152478,0.1949587029585669,0.13107335794027858,0.09489233915243928,0.21212542646504584,0.11298284854635893,0.09914257791868691,12.247392116288603
HARYANA,2019,5008.0,6433.0,5471358.0,51270033.0,409974.0,278875.0,223022.0,19709.4,28672.0,25.409195612245934,32.639248277471665,2.6012985174586745,0.27760144905476575,142987.58370535713,97263.88113839286,0.2299609178972963,0.2518768681669431,0.14809924720590162,0.12478613152117214,0.24091889303211972,0.13644268936353687,0.10447620366858285,12.31502570028472
HARYANA,2020,5224.0,6968.0,7052823.0,54161437.0,475352.0,308058.0,232530.0,20142.7,29077.0,25.934954102478816,34.593177677272664,2.6888866437965118,0.35014288054729503,163480.41407297863,105945.59273652715,0.24247759675683414,0.3441552160300201,0.17420664198375013,0.13700479999646895,0.2933164063934271,0.15560572099010955,0.13771068540331755,12.356774527943667
