state_key,fy_end,branches,atms,credit_accounts,deposit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,pop_18plus_000,pop_total_000
KERALA,2019,6622.0,9582.0,13756280.0,73495187.0,495762.0,334847.0,205437.0,26192.5,35125.0
KERALA,2020,6801.0,9931.0,14049449.0,76371710.0,545024.0,360892.0,208879.0,26449.6,35307.0
KERALA,2021,6869.0,10356.0,13702398.0,76629780.0,607649.0,388732.0,194432.0,26708.0,35489.0
KERALA,2022,6814.0,10926.0,13611613.0,83172705.0,670289.0,424247.0,230280.0,26913.1,35633.0
KERALA,2023,6921.0,11633.0,14497035.0,90843196.0,724013.0,489203.0,257307.0,27118.3,35776.0
MADHYA PRADESH,2018,6589.0,10066.0,7725514.0,100452566.0,341433.0,222153.0,81966.0,51480.9,81090.0
MADHYA PRADESH,2019,6747.0,10216.0,8708168.0,105532190.0,368951.0,262105.0,92337.0,52625.3,82232.0
MADHYA PRADESH,2020,7234.0,10577.0,10955380.0,110583441.0,396779.0,285989.0,101909.0,53781.3,83374.0
MADHYA PRADESH,2021,7248.0,10763.0,12471562.0,112592643.0,453372.0,320452.0,101958.0,54949.0,84516.0
MADHYA PRADESH,2022,7338.0,11291.0,13117402.0,119624584.0,510313.0,359322.0,117402.0,55981.4,85548.0
MADHYA PRADESH,2023,7541.0,11495.0,14029167.0,129791040.0,547367.0,411420.0,127947.0,57021.8,86579.0
MAHARASHTRA,2018,12545.0,25651.0,25291457.0,197698212.0,2292825.0,2450160.0,172663.0,86932.3,121011.0
MAHARASHTRA,2019,12943.0,25692.0,32407969.0,197887425.0,2607845.0,2426920.0,182865.0,88420.7,122153.0
MAHARASHTRA,2020,13578.0,27887.0,39746027.0,211184851.0,2807751.0,2511092.0,189843.0,89921.6,123295.0
MAHARASHTRA,2021,13648.0,27471.0,43477791.0,220073570.0,3163108.0,2504795.0,182454.0,91435.0,124437.0
MAHARASHTRA,2022,13590.0,28817.0,55676170.0,233188807.0,3491988.0,2717399.0,219620.0,92754.5,125411.0
MAHARASHTRA,2023,13972.0,29612.0,73146443.0,258512123.0,3922908.0,3332739.0,252289.0,94083.4,126385.0
MANIPUR,2018,179.0,335.0,165976.0,2785256.0,9019.0,4021.0,71507.0,2085.2,3073.0
MANIPUR,2019,192.0,330.0,202376.0,2743213.0,9927.0,4946.0,73795.0,2133.6,3103.0
MANIPUR,2020,203.0,337.0,251916.0,2896180.0,10369.0,6129.0,78574.0,2183.1,3134.0
MANIPUR,2021,210.0,386.0,309117.0,3069499.0,12323.0,7405.0,75784.0,2233.3,3165.0
MANIPUR,2022,225.0,396.0,353300.0,3471552.0,13813.0,9163.0,98826.0,2277.6,3194.0
MANIPUR,2023,240.0,400.0,368547.0,3598482.0,14851.0,11313.0,107133.0,2322.4,3223.0
MEGHALAYA,2018,345.0,409.0,254285.0,2745651.0,21503.0,5844.0,82457.0,2166.0,3192.0
MEGHALAYA,2019,346.0,389.0,278005.0,2840817.0,24063.0,7448.0,88954.0,2216.8,3224.0
MEGHALAYA,2020,364.0,407.0,277395.0,2995065.0,23756.0,8435.0,95422.0,2268.1,3256.0
MEGHALAYA,2021,367.0,415.0,309950.0,3175652.0,25821.0,9785.0,90751.0,2320.1,3288.0
MEGHALAYA,2022,368.0,451.0,310794.0,3338442.0,29441.0,9512.0,107971.0,2366.0,3318.0
MEGHALAYA,2023,374.0,459.0,327485.0,3506501.0,31275.0,11874.0,124673.0,2413.2,3349.0
MIZORAM,2018,191.0,171.0,137842.0,1373928.9999999998,8468.0,3029.0,155222.0,801.4,1181.0
MIZORAM,2019,192.0,181.0,143572.0,1416119.0,9255.0,3837.0,164708.0,819.6,1192.0
MIZORAM,2020,203.0,173.0,161832.0,1490844.0,11332.0,4174.0,195365.0,838.7,1204.0
MIZORAM,2021,210.0,177.0,172990.0,1558558.0,12000.0,5063.0,173521.0,858.0,1216.0
MIZORAM,2022,220.0,175.0,174667.0,1587447.0,13102.0,5982.0,190965.0,875.0,1227.0
MIZORAM,2023,227.0,182.0,184844.0,1664672.0,14682.0,6954.0,213665.0,892.1,1238.0
NAGALAND,2018,161.0,316.0,136659.0,1433284.0,10014.0,3479.0,102003.0,1444.7,2129.0
NAGALAND,2019,164.0,296.0,148940.0,1479138.0,11183.0,3991.0,109198.0,1478.3,2150.0
NAGALAND,2020,176.0,317.0,172471.0,1571267.0,12242.0,4644.0,122759.0,1512.3,2171.0
NAGALAND,2021,180.0,320.0,198130.0,1639343.0,12579.0,7208.0,119781.0,1546.7,2192.0
NAGALAND,2022,182.0,327.0,198538.0,1717794.0,14579.0,6381.0,127225.0,1578.1,2213.0
NAGALAND,2023,192.0,332.0,210762.0,1832801.0,15579.0,7805.0,138889.0,1609.0,2233.0
ODISHA,2018,4858.0,6988.0,5508448.0,60007175.0,268905.0,101019.0,87055.0,30239.6,43490.0
ODISHA,2019,4914.0,6888.0,7126096.0,62128831.0,309554.0,127646.0,98005.0,30614.0,43671.0
ODISHA,2020,5223.0,7068.0,8509070.0,65762478.0,341140.0,143879.0,104633.0,30990.5,43852.0
ODISHA,2021,5289.0,7620.0,9429978.0,68638037.0,363567.0,155954.0,103211.0,31369.0,44033.0
ODISHA,2022,5367.0,8203.0,9970819.0,73806889.0,421413.0,183405.0,133768.0,31662.4,44162.0
ODISHA,2023,5548.0,8626.0,10502404.0,79578034.0,463318.0,216311.0,134612.0,31957.0,44291.0
PUDUCHERRY,2018,245.0,591.0,577191.0,2742377.0,16242.0,10358.0,198357.0,989.1,1470.0
PUDUCHERRY,2019,253.0,561.0,632880.0,2830751.0,17818.0,12363.0,204140.0,1020.9,1504.0
PUDUCHERRY,2020,267.0,623.0,759321.0,3034786.0,20043.0,13322.0,217937.0,1052.4,1537.0
PUDUCHERRY,2021,268.0,633.0,793865.0,3075824.0,22138.0,14885.0,208862.0,1085.0,1571.0
PUDUCHERRY,2022,265.0,670.0,796548.0,3245201.0,24552.0,16156.0,231557.0,1118.5,1608.0
PUDUCHERRY,2023,272.0,671.0,824586.0,3518046.0,26469.0,18315.0,231231.0,1153.1,1646.0
PUNJAB,2018,6490.0,7384.0,4411352.0,60450968.0,347797.0,220941.0,139835.0,21689.5,29619.0
PUNJAB,2019,6614.0,7210.0,5210584.0,59582908.0,379577.0,236211.0,149974.0,22036.3,29859.0
PUNJAB,2020,6735.0,7437.0,6192224.0,62079607.0,410987.0,244057.0,154385.0,22385.8,30099.0
PUNJAB,2021,6700.0,7464.0,6988155.0,60968084.0,459027.0,263532.0,150620.0,22738.0,30339.0
PUNJAB,2022,6550.0,7649.0,7237221.0,67768161.0,510138.0,288331.0,170276.0,23017.5,30535.0
PUNJAB,2023,6612.0,7948.0,7781977.0,71320660.0,560275.0,314823.0,185802.0,23298.0,30730.0
RAJASTHAN,2018,7276.0,9386.0,7412895.0,87727566.0,334008.0,255728.0,98698.0,48077.0,76256.0
RAJASTHAN,2019,7391.0,10534.0,8598702.0,91436253.0,379008.0,325240.0,106604.0,49207.8,77264.0
RAJASTHAN,2020,7775.0,11149.0,11063138.0,96474388.0,420150.0,352425.0,115534.0,50352.3,78273.0
RAJASTHAN,2021,7871.0,10874.0,12332401.0,99425466.0,474438.0,388631.0,114925.0,51509.0,79281.0
RAJASTHAN,2022,7969.0,11244.0,13315280.0,107916435.0,530634.0,442730.0,134143.0,52510.3,80153.0
RAJASTHAN,2023,8304.0,11523.0,14524532.0,117782931.0,594426.0,515018.0,150020.0,53521.1,81025.0
SIKKIM,2018,138.0,196.0,71078.0,1004464.0,8533.0,2272.0,349163.0,445.8,657.0
SIKKIM,2019,143.0,179.0,82480.0,1030769.0,9632.0,2921.0,375773.0,456.6,664.0
SIKKIM,2020,162.0,200.0,105024.0,1094265.0,10130.0,3216.0,412627.0,466.7,670.0
SIKKIM,2021,164.0,192.0,118389.0,1105684.0,10604.0,3847.0,415045.0,477.7,677.0
SIKKIM,2022,165.0,227.0,142910.0,1152756.0,12411.0,5182.0,466518.0,487.0,683.0
SIKKIM,2023,168.0,235.0,130109.0,1232900.0,13554.0,5885.0,520466.0,496.5,689.0
TAMIL NADU,2018,10893.0,25277.0,28111636.0,136223243.0,716716.0,813600.0,175276.0,56107.1,75342.0
TAMIL NADU,2019,11206.0,25701.0,31754087.0,141073289.0,798738.0,891030.0,194373.0,56698.5,75695.0
TAMIL NADU,2020,11829.0,26892.0,35469823.0,150024247.0,899038.0,981665.0,206165.0,57293.6,76049.0
TAMIL NADU,2021,12028.0,27727.0,37906107.0,151821541.0,1008731.0,1046952.0,209628.0,57891.0,76402.0
TAMIL NADU,2022,12094.0,29169.0,39708600.0,158085491.0,1117412.0,1158606.0,242339.0,58347.4,76631.0
TAMIL NADU,2023,12407.0,30078.0,42716301.0,178253442.0,1211394.0,1325333.0,275272.0,58805.4,76860.0
TELANGANA,2018,5164.0,10365.0,9426603.0,67677137.99999999,417817.0,448649.0,179358.0,26540.3,36967.0
TELANGANA,2019,5227.0,9982.0,11136898.0,68060069.0,458581.0,518518.0,209848.0,26946.4,37220.0
TELANGANA,2020,5388.0,10884.0,12595625.0,69524662.0,498184.0,550411.0,231326.0,27355.5,37473.0
TELANGANA,2021,5579.0,11109.0,14205374.0,71324744.0,605468.0,601477.0,225734.0,27767.0,37725.0
TELANGANA,2022,5605.0,11712.0,15086377.0,74587894.0,638949.0,660857.0,269000.0,28080.2,37907.0
TELANGANA,2023,5819.0,11549.0,16614598.0,80947704.0,693887.0,776338.0,312046.0,28395.9,38090.0
TRIPURA,2018,456.0,491.0,940933.0,6244568.999999999,22020.0,8973.0,100444.0,2682.4,3953.0
TRIPURA,2019,463.0,482.0,963092.0,5381675.0,24880.0,10463.0,113016.0,2744.8,3992.0
TRIPURA,2020,565.0,583.0,1004571.0,5563642.0,26487.0,11346.0,121456.0,2808.7,4032.0
